Luhya_Loogoli,Kiswahili
Mkali mugata yaavoha inyama mumakoola.,Watu hawa wanataka kuchokozana.
Yaviika inyama inyumu kusahani.,Nyororo
Avandu yava venyaa vatindirane.,Nyanya
Munyolo,Kuku
Inyaanya,Kiwavi
Engoko,Nyama
Engetsa,Wote wanajua kuku.
Inyama,Kuku munono hutaga mayayi ngapi kila mwaka.
Vosi vaamanya engoko.,Anaweza lalia mayayi siku ngapi?
Engoko engomeru eteraa mavuyu ganga mumuhiga?,Kuku anayelalia hutaga mayayi zaidi ya kumi na tatu.
Inyala kugonera mavuyu madiku ganga?,Ngege hupatikana wapi?
Engoko egoneraa iteraa mavuyu amakumi gavaga nokuvita.,Tumbiri hupanda kwa miti.
Engege inyolekaa haliki?,Kuku hulalia kwasiku ishirini na moja.
Ingugi ininaa kumisaala.,Nachuna hindi nimgongolee kuku
Engoko igoneraa madiku makumi gaviri nalirala.,Ngege ana nyama nzuri
Nogaa liduuma ndondolere engoko.,Ngao
Engege iveeye nenyama indahi.,Kengele
Ingavo,Nyota iko juu.
Egengere,Nyota hung?aa.
Eng'ereng'ani iveeye yigulu.,Nyota humsaidia mtu kuona gizani
Eng'ereng'ani yaakanga vudiku.,Musa anagonga kengele.
Eng'ereng'ani ikoonyanga mundu kulola mukisundi.,Ikishagonga utakimbia.
Musa akubaanga egengere.,"Ukiwa mkimbiaji mzuri, uafika shuleni karaka."
Niimali kukuba ulanyagula.,Kegoye walikimbia vizuri wakashinda ngao.
Nuveeye munyaguli mulahi ulanguha kuduuka mulisoma.,Hii ni ngao ya wajaluo
Kegoye vaanyagula vulahi nivanyoola ingavo.,Waweza ukaona nini gizani?
Yiyi ningavo ya Vavo.,Ni nini hutusaidia kuona gizani?
Unyala kololaki mukisundi?,Ukiangalia juu wakati wa giza ni nini unaona?
Nikinduki kikukoonyaa kulola mukisundi?,"Ikiangalia juu wakati wa giza, utajikwaa mguu."
Niwumika yigulu mukisundi ulolaki?,Funza akiwa mguuni ataninyonya damu.
Niwumika yigulu mukisundi uliiduya kerenge.,Ling?ohani hulala wapi gizani
Eng'ende niveeye mu kerenge iranuuna masahi.,Hulala penye magugu mutoni.
Ling'ohani ligonaa haliki mukisundi?,": Je, unaweza kumuona ukimulika?"
Ligonaa mulose.,Ukimumulika ling?ohani atayoroka.
Unyala kulirola numulika naho?,Hawa mang?ohani huwawinda nzige
Nuumulika ling?ohani lirabuluka.,Nyota
Amang'ohani yaga gahimanga madeede.,Nyota akianguka utaona mwangaza
ig'ereng'ani,Mwenge huwa na mwangaza kidogo
Eng'ereng'ani niyaaguluka ula ola vulavu.,Mang?ang?a hutembea mtoni wawiliwawili
Lumuli luveeye nuvulavu vukekeke.,Alipo sulubishwa
Namang'ang'a gagenda sigaviri mukivanda.,Kunao mlima hapo
HA KIBAMBIRU,sehemu
Ki veeye kigulu yaho,Alipo sulubishwa Yesu
I kyova Lidala;,Amekuja kuponya
Ha va mu bambira Yesu,Hakika  alitupenda
Ya kudza kuhonnya.,Tumpende pia
"Ya ku Yanza, dodo, Mwene",Tumwamini zaidi
"Ku mu yanze kandi,",Tumfanyie kazi yake
"Ku mu suuvire ligali,",Hatuwezi  kuhesabu
Ku mu yinzirira.,Rehema zake;
Si Ku nyala kubalidza,Tunajua  alisulubishwa hapo
Busaliri bwibwe;,Ili sote tusamehewe
Ku manya asungwa yaho,Kifo alichotufia
Ku sameha voosi.,Tupate uponyaji
Likudza ya ku kudzira,Damu yake ilitiririka
Ku nyole buhonnyi;,Kusafisha dhambi zetu
Masahi gege ga tadza,Hakukuwepo  na  mwingine  mzuri
Kwogidza vahyoli.,Kutulipia dhambi zetu
Si ha li wundi mulungi,Alikufa kutufungulia  njia
Kutungira bwoni;,Kuingia mbinguni
Ya kudza kukwigulira,Ulisoma hadithi ya msalabani
Kwingira mwigulu.,Ulisoma hadithi ya msalaba?
WA SOMA LUGANO LWO MUSALA,Alipofia Yesu
Wa soma lugano Iwo Musala?,Alipolipia deni  lako
Ha Yesu ya kudza;,Na damu yake
He ligovi Iilyo lya tungirwa.,Alikufa kwa sababu ya dhambi zako
Naa masahi gege.,Alitufia dhambi zetu
"Ya kudzira ubwoni bubwo,",Rehema zilikuwa nyingi
Ya kudzira bwoni bwetu:,Alikufa kwa sababu ya wenye dhambi
Tsimbabasi tya li tsinyingi,Ulisoma kuhusu kata ya miba!
Ya kudzira avoni.,Walimvisha Yesu!
Wa soma ku gengata ya mafwa!,"Aliomba, ?Oh wasamehe,"
Va mu vika Yesu!,"Oh, wasemehe?"
"Lwa ya saala, ?O u va samehe,",Ulisoma jinsi alivyomponya mwizi
"O, u va samehe.?",Aliye kuwa kwenye  msalaba
Wa soma kuli ya honnya mwivi,Aliyemwangalia kwa huzuni
Wa Ii ku musala,"Aliyesema, ?unikumbuke!?"
"Wa mu henza nobuvereri,",Ulisoma jinsi alivyoangalia hapo?
"Ya vola, ?Nzidzulitsa.?","Akasema, ?Yamekwisha!?"
Wa soma kuli ya henza yaho?,"Uwe unamwambia, asanti"
Na vola ?Ga fweye!?,Mungu ulinirudia?
"U mu voleranga ku, Hasante",Msalaba wa Yesu
Mwami wa nzenaanira?,Kwenye mlima mbali unao msalaba
MUSALABA GWA YESU,Wenye huzuni mwingi
"Ku Kigulu hale, musala gu ve yo,",Yesu alifia watu wote hapo
Gwo buvereri bunene.,Awaondolee dhambi zao
"Ha Yesu Ya Kudza vandu vosi yaho,",Naupenda msalaba zaidi
A twulidze bwoni bwavo.,Lazima nifike kule mbinguni
"Nda yanza musalaba kase,",Nitaushikilia msalaba
Kuduki nduke yo mwigulu.,Yesu anituze taji
"Nda ka dinye ku musalaba,",Msalaba huu
Yesu aduke kumba itaji.,Ulimwenguni kote sasa
"O musala yigu, Gu dunyirwa hosi,",Yesu aliacha ufalme wa mbinguni
Mu lirova lyosidza lero.,Afe msalabani
Yesu Ya leka bwami bwe mwigulu.,"Kwenye huo msalaba, damu ilimwagika"
A kudze ku musalaba.,Alipotufia Yesu
"Ku muala yigu, Magahi ga tadza,","Ni mzuri sana, kwa kuwa ni hapo"
Lwa Yesu Ya kukudzira.,Ameweza kututakasa
"No mulahi muno, kigira ni yaho.","Kwenye msalaba huu, nitakuwa mwaminifu"
Ya mala kukutakasa.,Aibu ya msalaba;
"Ku musala yigu, Nda va weligali,",Ninaweza kuibeba hadi nitakofika
Tsisoni tsyo musalaba;,Niishi pamoja naye
Nyala kutsiginga kuduka lwa nduka.,Sisi sote tuwachilie
Ku menya halala naye.,Sisi sote tuwachilie
KWINYE KWOSI KU LAKUULE,Mahitaji yetu:
Kwinye kwosi ku lakuule,Tuamini rehema
Tsindamano tsyetu:,Za mponyaji wetu
Ku suuvire tsimbabasi,Yesu alitufia
Tsyo Muhonyi wetu.,Alikufa kwa ajili yako
Yesu ya nkudzera.,Alifia watu wote
Ya kudzera lve.,Ni yeye anatulipia
Ya kudzera vandu vosi,Hatuwezi kujipuzisha
A ye Mutungiri.,Twende nawe Yesu
Si ku nyala kwesosidza,Tunahitaji rehema zake
Kudze ive Yesu;,Tukuamini wewe
Kwenya tsimbabasi tsitsyo.,Mlipaji wetu ni wewe
Ku suuvire ive.,Ulitufia  sote
Mutungiri wetu nive,Tusamehe dhambi zetu
Wa kudzera kwosi;,Sisi ni wana wako
ku samehe bwoni bwetu.,Tuna mshukuru anaye tulipia
Ku ve vandu vovo.,Aliyewalipia watu
Kwidzominye Mutungiri,"Milele, milele tutafurahia"
Wa tungira vandu;,Yesu mlipaji
"Kase, kase ku Ia yanza",TUME KUJA
Yesu Mutungiri.,Tumekuja sisi wenye dhambi
KWA KUDZA,"Dhambi zilituharibu, zimekuwa zikitusinya, zimekuwa zikitusinya."
"Kwa kudza kwinye ?voni,",Tuliponywa na nini sisi?
"Nobwoni bwa kwononya,  Bwa kusinyanga kase,  Bwa kusinyanga kase.","Dhambi zetu zikawa nyingi, zikawa mara dufu; mioyo yetu ikajaa wasiwasi, tuliponywa na nani sisi."
Kwa honywa na ki kwinye??,"Tulutenga kila mara, tuliogopa vitu vyote na Mungu mwenyewe Yesu, na Mungu mwenyewe Yesu; tuliponywa sisi"
"Bwa vunga bwoni bwetu,  Bwa songwa kase, kase;  Kwa henda myoyo gyetu,  Kwa henda myoyo gyetu,  Kwa honywa na ki kwinye.",Tulimlilia yesu.
"Kwa tenga kase, kase,  Kwa tidza Vindu vyosi,  No Mwami mwene Yesu,  No Mwami mwene Yesu;  Kwa honywa na kwinye?",Ulifia wenye dhambi
"Kwanira Yesu Mwami.  Wa va kudzera voni,",Alifanya rehema
"Wa va kudzera voni,",Alifanya rehema
"Ya kola tsimbabasi,",Yeye mwenyewe alituponya sisi
"Ya kola tsimbabasi,",Alisumbukana Yesu
Mwene ya honya kwinye.,"Akaosha dhambi zetu alipotufia Yesu,Alipotufia sote; mwenyewe alituponya"
"Ya kupa kivi Yesu,",ALIVISHWA TAJI YA MIBA
"Na a singa bwoni bwetu  Lwa ya kudzera kwosi,  Lwa ya kudzera kwosi;  Mwene ya honya kwiny  e",Alivikwa miba
YA VIKWA ITAJI YA MAFWA,Kicwa kilivishwa miba
Crowned With Thorns,Ikawekwa taji
Mutwe gwa vikwa amafwa,Utukufu wake wote
Gu vikiywi taji,Mwenye nguvu zote
Ubukumi bwibe bwosi,Malazi yake mbinguni
Wetsingulu tsyosi,Yake ya kweli
Bugono bwibwe mwigulu,Mfalme wa wafalme mkubwa
Bu ye bweligali;,Aliongoza waziwazi
Mwami wavami Munene,Furaha yao mbinguni
Ya meha mbulavu,Furaha ya chini
Buyanzi bwavo mwigulu,Wote wajuao upendo
Buyanzi bwa hasi;,Anapeana jina lake
Vosi va manya buyanzi,Kwa hao wenye msalaba
A haana lyeta lye.,Watasamehewa
Ku yavo vomusalaba,Jina lako linadumu
Va la verererva,Furaha mbinguni
Lyeta lilye li menyanga,YESU MTAFUTAJI
Buyanzi mwlgulu.,Yesu mtafutaji anapenda watu
YESU MUSOLI,Anawaita wote wamfuate
"Yesu Musoli a yanza vandu,",Ukiitwa leo
A langa vosidza va mu londe.,Umfuate Yesu leo hii
Iye u langwa nunu,"Ukiitwa leo, utafanya nini?"
U mu londe Yesu nunundi;,Yesu ako hapa
"U langangwa lero, u la khola shi?","Leo hii, leo hii"
"Yesu aIi hano khunanula iye,",Usikie leo hii
"Nunundi, nunundi,","Yesu alisulubishwa, anisaidie mimi"
U hulire nunundi.,Damu ilimwagika msalabani
"Yesu ya bambwa, a khonye inze,",Yesu alifia dhambi za watu
Masahi ga rhonya khu musala.,Kwa sababu anapenda wenye dhambi wote
Yesu ya khudzera bwoni bwa vandu,"Yesu aliamka, mshindi wetu"
Shigira a yanza voni vosi.,Alishinda kifo cha shetani
"Yesu ya vukha, muguurhi werhu",Nataka kuuliza nani anataka
Ya guurha likhudza lya Shetani.,Kumfuata Yesu Mungu wangu?
"Nyenya khurheva, wina wenyanga",KUCHIMBA KABURI
Khu mulonda Yesu Mwami wange?,Wavulana na wasichana waliokuwa wakioana walipaswa kujua mambo ya ?KUCHIMBA KABURI.?
KUTEMA KELOVA,Tena mhubiri na waliosimamia harusi walipaswa kujua maneno mambo waliyofundisha waliooana na watoto wadogo walioliofariki jinsi walipaswa kuzikwa.
Avana vayai na vakana avaletana vadukana vamanye ilinga'ana livoola ?KUTEMA KELOVA?.,Mtoto mchanga kuanzia siku moja hadi miezi sita kabla mwingine kuzaliwa walipaswa wajue mtoto huyo akiaga mwili wake uzikwe kabla ya siku mbili kuisha.
Kandi ava pastor na vakolitsanga iviselelo gadukana vamanye amang'ana ga vegitsa avaletananga na avana avadoto vakutsanga kuli vayavila avana yava.,"Tena akizikwa, huzikwa kabla saa sita kuisha."
Umwana mudoto kutula ku lidiku lilala kuduka mieli sita nakili kulonditswa ku uundi vadukana vamanye umwana uyu nakutsi atagona kavili kulusimbu mba.,Kilichofuata mama mtoto huyo alifundishwa jinsi ya kuomboleza mwanawe aliyeaga.
"Kandi natevwa, atevwe saa sita nitavita.",Mama mtoto huyo asipige nduru au asilie baada ya mtoto huyo kupelekwa kaburini.
Lilonda ku mama wewe yegitswe ILISIOMA umwana uyu nakutsi.,Maanake wakati wa kuchimba kaburi hakupaswa kulia.
Mama wo mwana uyu atakuba tsikwili anaho nasioma ulwavahila mukuzu mukilindwa mba.,Sababu yake ni kuwa Mungu anataka kuwapa mtoto mwingine mzuri kuliko huyo aliyeaga.
Kigira sigenyekana ulwavatsitsa kutema kilova ave nasioma anaho nalila amaliga dave.,Na mtoto kama huyu baada ya mazishi watu hawakeshi nje tena.
Kivuni Nyasaye yenya avahe umwana undi umulahi kuvita ukutsi uyu.,"Mkiomboleza mtoto huyu sana ubaya wake ni kuwa mtoto atakayezaliwa baada yake, huzaliwa, hukua na huwa na kiburi sana duniani."
Na umwana kuli uyu siagonelangwa ku amagenga mba.,"Tena mtakapo kutana kimwili, muwe na furaha kubwa, maanake mtoto atakayezaliwa hukua na kuwa mtoto mzuri Zaidi na wa maana kushi naye na huwa utukufu kwa Mungu."
"Mwasiomela umwana uyu vudinyu vwene, ma nyima mwahelitsa umwana uundi, niyivulwa maaviluka, avetsa mwana wekilage ikivi kyene mukivala.","Na mtoto angepatikana wazazi wakizozana na mambo mengine mabaya, mtoto huyo alizaliwa na kiburi na uovu hata na uchokozi na kupigana na wenzake mara kwa mara."
"Kandi ulwa mwenya kuva halala, muve novuyanzi ovonene vwene, nyima nimuhelitsa umwana maaviluki avetasa umwana umulahi ligali no wekivuni kumenye nei hili na ku Nyasaye.",MUNGU NA MILIMA
Navutswa umwana yahelitswa no mulikubana na agandi amang'ana amavii umwana uyu yivulwa nekilage ne kivi kyosi kali novulumindi nelikubana na vandi kazozo.,"Nguvu zote ambazo Mungu aliweka kaatika dunia na jua liwakalo hili katika matambiko yote mababu walitaka kufanya, walifanyia milimani na tena walifanya wakitazama jua."
NYASAYE NE VIGULU,Ukisoma Bibilia utaona jinsi Musa wa zamani walikuwa wakienda mlimani kuomba Mungu ampe hekima ajue atakachoweza kufanya na kuwaongoza wana Waisraili.
"Tsigulu tsiosi tsia nyasaye yavika kukivala halala ne LIUVA liakanga yili mumiluka josi ijavaguuga venya kukola, vakolela kuvigulu makandi vakola ni vahenza ILIUVA.",Wakati Musa angetaka hekima alikuwa akielekea juu yam lima kwenda kuomba ndiposa aweze kupata nguvu na hekima ndiposa aweze kufanya vizuri shughuli alizotakiwa kuzifanya na Mungu.
Nusoma mu kitabu kye vangeli ya Nyasaye ulalola kuli Musa wa Kale vatsitsa mukigulu ukutsia kuteva Nyasaye amuhe ovogeli ikyanyala kukola nokulinda avana Vaisrael.,Yesu naye pia akiwa duniani alikuwa akipanda juu ya mlima kwenda kuomba Baba yake Jehova ndiposa apate uwezo wa kufanya shughuli zake za miujiza.
Musa niyenyanga ovogeli yatanganga anyagula mu kigulu atsie kusaala ku anyole tsingulu no vogeeli ku akole imiyinzi vulahi ija Yahova amutumi ku.,Babu zetu wa kale pia mikusanyiko yao yote ilitendeka juu ya milima.
Mwami Yesu kandi naye naveye mulilova yanigila mukigulu ukutsia kusaala ku Baba wewe Yahova ku anyole uvunyali vwokokola imiyinzi jije jokukola ivilolekitsu vinene mu lilova.,Tena walikuwa wakiangalia jinsi jua lilikuwa lilichomoza kutoka mashariki asubuhi na mapema ili waone likiwa limechomoza vizuri ndiposa wafanye matambiko yao na ndipo wajue kwamba matambiko yao yatabarikiwa.
Avaguga vitu va kale kandi imisango javo josi jakolelwanga mu vigulu.,"Lakini wakiona jua linaangaza mianzi miekundu au kukiwa na ukungu,au mawingu yakiwa yamelizuia hawangefanya matambiko hayo."
Makandi vahenza kuli LIUVA nilitula ivugwe kale mugamba zuri ku nivaloli iliuva lituli vulahi ililavu zeeree kuli likonza kuvakola miluka javo ma vamanya miluka javo jilagasitswa.,Mungu alikuwa na sababu kuu juu ya milima kwa dunia.
"Navutswa valola iliuva niliakanyi nekisahi ku anaho lilumbi, anaho amalesi nigalikingi, sivakola miluka yigyo mba.",Jua likichomoza huanzia milimani na likitua hutua kwenye ziwa.
Nyasaye yali nikivuni kuviguru ekenene kyene kulilova.,Mvua ikianza kunyesha huanzia milimani kuelekea chini.
Liuva nilitula litulila kuvigulu na niligwa naho niliyela mu inyanza.,Mvua ikipusa huanzia milimani kupusa.
Imbula nikuba itangila kuvigulu kukuba kutsia hasi.,"Upepo ukipotea, urejeapo huanzia milimani na pia katika Ziwa au msituni au kwenye mabonde."
Imbutsa negota itangila kuvigulu ukugota.,VITU VIISHIVYO KATIKA MILIMA
Imbutsa niyagota niyilana yilanila kuvigulu ma kandi Munyanza no mumilitu no muvivanda.,Mungu ameficha vitu tofauti milimani.
IVINDU VIMENYI MUVIGULU,"Wakati mwingine hautaona mlima ukiwa chini. Unaweza kuona wanyama mwitu, nyoka wabaya wakiishi milimani."
Nyasaye yavisa ivindu lugano muvigulu.,Tena unaweza kuona nyumba na watu wanaotembea juu yake.
"Inyinga ndala siolola kigulu noveye hasi mba unyala kulola tsinyama, tsinzoka tsimenya mu itsimbi tsiene.",Mlima ulio na VOLCANO una shimo kubwa kwenda chini kwenye ziwa na pia una barafu kubwa juu yake na moto mkubwa hutokea ndani na pia SPARK pamoja na upepo mkali.
